source,status,paper_slug,paper_display,circulation,month,page,advertiser_raw,advertiser_normalized,category,size_class,size_dims,size_sq_in,position,phone,website,confidence,review_needed,notes
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,8,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,9,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,10,AngiLLC Tile & Finish Carpentry,AngiLLC,services,2U,3.25x4,13,inline,973-896-4656,www.angillc.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,11,My Handyman & Painter LLC,My Handyman & Painter,services,18FP,10x14,140,full_page,732-331-9572,www.myhandymanandpainter.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,12,NJ Antique Buyers,NJ Antique Buyers,services,6U,6.5x6.25,40,bottom,201-410-8442,njantiques.com; www.njantiques.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_full_page_hash,paid,clark-monthly,Clark Monthly,6800,2026-01,13,Best Places Expo / Ideal-LIVING,Best Places Expo,real_estate,18FP,10x14,140,full_page,800-736-0321,BestPlacesExpo.com,medium,no,Matched full-page creative hash from verified Westfield page 7.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,15,Advisory Consultants (FSBO ad) Edison,Advisory Consultants (FSBO ad) Edison,paid,1U,3.25x2,6.5,inline,908-463-2089,gmail.com,medium,no,Sell house yourself
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,15,Angelo CPA Firm Clark,Angelo CPA Firm Clark,paid,4U,6.5x4 or 3.25x8,26,bottom,732-382-2272,angelocpafirm.com,medium,no,Tax accounting
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,15,Elizabeth Bataille (Coldwell Banker),Elizabeth Bataille (Coldwell Banker),paid,1U,3.25x2,6.5,bottom,908-202-1702; 908-233-5555,gmail.com,medium,no,Same advertiser as 908-233-5555 - cell
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,15,Reynolds Plumbing,Reynolds Plumbing,services,2U,3.25x4,13,bottom,201-666-0003; 908-276-5367,www.reynolds-plumbing.net,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,16,I Buy Old Motorcycles - Glenn,Glenn Buys Motorcycles,services,1U,3.25x2,6.5,bottom,732-556-7636,,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,17,Mr J's Deli Cranford,Mr J's Deli,food,4U,3.25x8,26,bottom,908-272-0370,mrjsdeliincranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,17,Mr J's Deli Cranford,Mr J's Deli,food,4U,3.25x8,26,bottom,908-272-0370,mrjsdeliincranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,19,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,2U,6.5x2 or 3.25x4,13,bottom,908-964-4004,facebook.com; gmail.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_phone_box,paid,clark-monthly,Clark Monthly,6800,2026-01,20,Metro Liquors (Metro),Metro Liquors (Metro),paid,1U,3.25x2,6.5,top,908-925-1770,,medium,no,Online order curbside
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,1,Arnolds Pest Control Cranford,Arnolds Pest Control Cranford,paid,2U,6.5x2 or 3.25x4,13,bottom,908-276-8062,arnoldspestcontrol.com,medium,no,Lic 90966A
auto_phone_box,renna_self,cranford-monthly,Cranford Monthly,9900,2026-01,1,Renna Media Grow Your Biz filler,Renna Media Grow Your Biz filler,renna_self,1U,3.25x2,6.5,top,908-418-5586,,low,no,House ad - 'Place your ad in this space'
auto_phone_box,renna_self,cranford-monthly,Cranford Monthly,9900,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_full_page_hash,paid,cranford-monthly,Cranford Monthly,9900,2026-01,3,Best Places Expo / Ideal-LIVING,Best Places Expo,real_estate,18FP,10x14,140,full_page,800-736-0321,BestPlacesExpo.com,medium,no,Matched full-page creative hash from verified Westfield page 7.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,4,Laundry pickup/delivery service,Laundry pickup/delivery service,paid,4U,6.5x4 or 3.25x8,26,inline,908-528-5080,laundryworldnj.com,medium,no,Pick-up & delivery 6 days
auto_full_page_hash,paid,cranford-monthly,Cranford Monthly,9900,2026-01,5,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,18FP,10x14,140,full_page,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,6,Family Care for Newborns (medical),Family Care for Newborns (medical),paid,4U,6.5x4 or 3.25x8,26,bottom,908-272-7990,,medium,no,570 South Ave Cranford
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,6,St Michael School Cranford (SMS),St Michael School Cranford,education,6U,3.25x12,40,top,908-276-9425,verizon.net; www.smscranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,7,My Handyman & Painter LLC,My Handyman & Painter,services,18FP,10x14,140,full_page,732-331-9572,www.myhandymanandpainter.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,8,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,9,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,10,Advisory Consultants (FSBO ad) Edison,Advisory Consultants (FSBO ad) Edison,paid,1U,3.25x2,6.5,inline,908-463-2089,gmail.com,medium,no,Sell house yourself
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,10,Elizabeth Bataille (Coldwell Banker),Elizabeth Bataille (Coldwell Banker),paid,1U,3.25x2,6.5,bottom,908-202-1702; 908-233-5555; 908-935-0960,elizabethbhomes.com; gmail.com,medium,no,Same advertiser as 908-233-5555 - cell
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,10,Hobbie & Hobbie Attorneys at Law Cranford,Hobbie & Hobbie Attorneys at Law Cranford,paid,1U,3.25x2,6.5,inline,908-276-4777; 908-709-1663,hobbieandhobbie.com,medium,no,Estate / general practice
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,10,NJ Antique Buyers,NJ Antique Buyers,services,6U,6.5x6.25,40,bottom,201-410-8442,njantiques.com; www.njantiques.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,11,AngiLLC Tile & Finish Carpentry,AngiLLC,services,2U,3.25x4,13,inline,973-896-4656,www.angillc.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,11,Joe Neglio plumbing Cranford,Joe Neglio plumbing Cranford,paid,2U,6.5x2 or 3.25x4,13,bottom,908-499-9092,,medium,no,Master Plumber lic 12951
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,12,Reynolds Plumbing,Reynolds Plumbing,services,2U,3.25x4,13,bottom,201-666-0003; 908-276-5367,www.reynolds-plumbing.net,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,13,Cranford sub/deli (Walnut Ave),Cranford sub/deli (Walnut Ave),paid,2U,6.5x2 or 3.25x4,13,inline,908-955-8700,,medium,no,Sloppy Joes hot/cold platters
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,13,Mr J's Deli Cranford,Mr J's Deli,food,4U,3.25x8,26,bottom,908-272-0370,mrjsdeliincranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,13,Mr J's Deli Cranford,Mr J's Deli,food,4U,3.25x8,26,bottom,908-272-0370,mrjsdeliincranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,15,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,2U,6.5x2 or 3.25x4,13,bottom,908-964-4004,facebook.com; gmail.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_phone_box,paid,cranford-monthly,Cranford Monthly,9900,2026-01,16,Marano & Sons Auto Sales Inc,Marano & Sons Auto Sales,automotive,BACK,10x14,140,back_cover,908-789-0555; 908-789-1551; 908-789-1792,maranosonsauto.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,renna_self,east-hanover-view,East Hanover View,4700,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,renna_self,east-hanover-view,East Hanover View,4700,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,east-hanover-view,East Hanover View,4700,2026-01,2,Pizzano Photo Studio (residential/commercial photo),Pizzano Photo Studio (residential/commercial photo),paid,9HP,10x7 or 6.5x9,65,inline,973-566-9999,anthonypaternoairductcleaning.com,medium,no,35 yr business - check size
auto_full_page_hash,paid_candidate,east-hanover-view,East Hanover View,4700,2026-01,3,Unknown full-page creative 069f9c4f12ec,Unknown full-page creative 069f9c4f12ec,unknown,18FP,10x14,140,full_page,,,low,yes,Full-page/back-cover ad-like creative with no extractable phone/text. Needs visual review.
auto_full_page_hash,paid,east-hanover-view,East Hanover View,4700,2026-01,5,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,18FP,10x14,140,full_page,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
auto_phone_box,paid,east-hanover-view,East Hanover View,4700,2026-01,7,Assure Pest Services / Morris County Exterminator,Assure Pest Services / Morris County Exterminator,paid,1U,3.25x2,6.5,inline,973-525-6418,morriscountyexterminator.com,medium,no,20 yr lic 99814
auto_phone_box,paid,east-hanover-view,East Hanover View,4700,2026-01,7,I Buy Old Motorcycles - Glenn,Glenn Buys Motorcycles,services,1U,3.25x2,6.5,inline,732-556-7636,,medium,no,Matched to verified Westfield advertiser by phone.
auto_full_page_hash,paid_candidate,east-hanover-view,East Hanover View,4700,2026-01,9,Unknown full-page creative 9b2a9991a283,Unknown full-page creative 9b2a9991a283,unknown,18FP,10x14,140,full_page,,,low,yes,Full-page/back-cover ad-like creative with no extractable phone/text. Needs visual review.
auto_phone_box,paid,east-hanover-view,East Hanover View,4700,2026-01,11,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,2U,6.5x2 or 3.25x4,13,bottom,908-964-4004,facebook.com; gmail.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_full_page_hash,paid,east-hanover-view,East Hanover View,4700,2026-01,12,Best Places Expo / Ideal-LIVING,Best Places Expo,real_estate,BACK,10x14,140,back_cover,800-736-0321,BestPlacesExpo.com,medium,no,Matched full-page creative hash from verified Westfield page 7.
auto_phone_box,renna_self,elmora-hills,Elmora Hills,5100,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,renna_self,elmora-hills,Elmora Hills,5100,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,4,I Buy Old Motorcycles - Glenn,Glenn Buys Motorcycles,services,1U,3.25x2,6.5,bottom,732-556-7636,,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,5,Laundry pickup/delivery service,Laundry pickup/delivery service,paid,4U,6.5x4 or 3.25x8,26,inline,908-528-5080,laundryworldnj.com,medium,no,Pick-up & delivery 6 days
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,6,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,7,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,8,Complete Solutions (computer/IT),Complete Solutions (computer/IT),paid,1U,3.25x2,6.5,bottom,732-391-3466,completesol.com; www.completesol.com,medium,no,Small biz networks
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,9,Advisory Consultants (FSBO ad) Edison,Advisory Consultants (FSBO ad) Edison,paid,1U,3.25x2,6.5,bottom,908-463-2089,gmail.com,medium,no,Sell house yourself
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,9,Knights of Columbus Council 253 Elizabeth,Knights of Columbus Council 253 Elizabeth,paid,9HP,10x7 or 6.5x9,65,inline,908-355-2253,,medium,no,Hall rental ad
auto_phone_box,paid,elmora-hills,Elmora Hills,5100,2026-01,11,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,4U,6.5x4 or 3.25x8,26,inline,908-964-4004,facebook.com; vdsnj.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_full_page_hash,paid,elmora-hills,Elmora Hills,5100,2026-01,12,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,BACK,10x14,140,back_cover,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,1,Coldwell Banker Westfield office,Coldwell Banker Westfield office,paid,1U,3.25x2,6.5,top,908-233-5555; 908-963-8673,cbrealty.com,medium,no,Multi-agent - office number
auto_phone_box,renna_self,fanwood-post,Fanwood Post,3250,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,renna_self,fanwood-post,Fanwood Post,3250,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_full_page_hash,paid,fanwood-post,Fanwood Post,3250,2026-01,3,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,18FP,10x14,140,full_page,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,4,Advisory Consultants (FSBO ad) Edison,Advisory Consultants (FSBO ad) Edison,paid,1U,3.25x2,6.5,inline,908-463-2089,gmail.com,medium,no,Sell house yourself
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,4,Mr J's Deli Cranford,Mr J's Deli,food,4U,3.25x8,26,bottom,908-272-0370,mrjsdeliincranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,4,Mr J's Deli Cranford,Mr J's Deli,food,4U,3.25x8,26,bottom,908-272-0370,mrjsdeliincranford.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,5,I Buy Old Motorcycles - Glenn,Glenn Buys Motorcycles,services,1U,3.25x2,6.5,bottom,732-556-7636,,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,5,"Lost Dog $2,500 reward (Westfield/Fanwood)",Lost Dog Classified,other,2U,3.25x4,13,inline,908-370-1903,,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,5,"Lost Dog $2,500 reward (Westfield/Fanwood)",Lost Dog Classified,other,2U,3.25x4,13,inline,908-370-1903,,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,6,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,7,Estates Roadshow - Kenilworth Hotel,Estates Roadshow,services,18FP,10x14,140,full_page,609-781-6559,estatesroadshow.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,11,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,2U,6.5x2 or 3.25x4,13,bottom,908-964-4004,facebook.com; gmail.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_phone_box,paid,fanwood-post,Fanwood Post,3250,2026-01,12,My Handyman & Painter LLC,My Handyman & Painter,services,18FP,10x14,140,back_cover,732-331-9572,www.myhandymanandpainter.com,medium,no,Matched to verified Westfield advertiser by phone.
auto_phone_box,renna_self,florham-park-press,Florham Park Press,6000,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,renna_self,florham-park-press,Florham Park Press,6000,2026-01,2,Joe Renna,Joe Renna,renna_self,4U,6.5x4 or 3.25x8,26,top,908-447-1295,facebook.com; rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,florham-park-press,Florham Park Press,6000,2026-01,2,Pizzano Photo Studio (residential/commercial photo),Pizzano Photo Studio (residential/commercial photo),paid,9HP,10x7 or 6.5x9,65,inline,973-566-9999,anthonypaternoairductcleaning.com,medium,no,35 yr business - check size
auto_full_page_hash,paid_candidate,florham-park-press,Florham Park Press,6000,2026-01,3,Unknown full-page creative 225dfc2ed78b,Unknown full-page creative 225dfc2ed78b,unknown,18FP,10x14,140,full_page,,,low,yes,Full-page/back-cover ad-like creative with no extractable phone/text. Needs visual review.
auto_full_page_hash,paid,florham-park-press,Florham Park Press,6000,2026-01,5,Magnolia Home Remodeling Group,Magnolia Home Remodeling,services,18FP,10x14,140,full_page,855-624-6655,magnoliahomeremodeling.com,medium,no,Matched full-page creative hash from verified Westfield page 5.
auto_phone_box,paid,florham-park-press,Florham Park Press,6000,2026-01,7,Doherty Roofing Company,Doherty Roofing Company,paid,1U,3.25x2,6.5,bottom,973-377-1006,dohertyroofingcompany.com; gmail.com,medium,no,josephdohertycompany
auto_phone_box,paid,florham-park-press,Florham Park Press,6000,2026-01,7,Dr. Murphy Suburban Chiropractic Chatham,Dr. Murphy Suburban Chiropractic Chatham,paid,2U,6.5x2 or 3.25x4,13,inline,973-635-0036,www.drmurphy.com,medium,no,Small inline ad
auto_phone_box,paid,florham-park-press,Florham Park Press,6000,2026-01,11,VDS NJ Video Tape Transfers,VDS NJ Video Tape Transfers,paid,2U,6.5x2 or 3.25x4,13,bottom,908-964-4004,facebook.com; gmail.com; www.vdsnj.com,medium,no,Union NJ - small ad
auto_full_page_hash,paid,florham-park-press,Florham Park Press,6000,2026-01,12,Best Places Expo / Ideal-LIVING,Best Places Expo,real_estate,BACK,10x14,140,back_cover,800-736-0321,BestPlacesExpo.com,medium,no,Matched full-page creative hash from verified Westfield page 7.
auto_phone_box,renna_self,garwood-times,Garwood Times,3300,2026-01,1,Joe Renna,Joe Renna,renna_self,2U,6.5x2 or 3.25x4,13,bottom,908-447-1295,rennamedia.com,low,no,Renna Media owner - rate sheet line on every paper
auto_phone_box,paid,garwood-times,Garwood Times,3300,2026-01,2,Elizabeth Bataille (Coldwell Banker),Elizabeth Bataille (Coldwell Banker),paid,1U,3.25x2,6.5,inline,908-202-1702; 908-233-5555,gmail.com,medium,no,Same advertiser as 908-233-5555 - cell
