paper,page,phone,is_rate_sheet_page,context
berkeley-heights-news,12,908-370-3700,False,"n administration ALL BREEDS, ALL NEEDSJulia DeMilio DOG WALKER & PET SITTER 908-370-3700 juliademilio@gmail.comNEW PRINCIPAL MS. MEG BERRY TO TAKE HELM OF GLHS Be"
berkeley-heights-news,13,732-331-9572,False,ly - We support animal rescues QUALITY HOME IMPROVEMENTS AT AFFORDABLE PRICES 732-331-9572 www.MyHandymanAndPainter.comAll Kinds of Home Repairs - No Job Too Small
berkeley-heights-news,14,908-447-1295,True,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
berkeley-heights-news,15,908-964-4004,False,"d since 1984 www.vdsnj.com facebook.com/vdsnj email: vdsnjira@gmail.com 908-964-4004 406 Chestnut St.  Union, NJ 07083 Video Tape Transfers  DVD & Flash Driv"
clark-monthly,1,908-447-1295,False,your business. Mailed to every home and business in 30 towns! Call Joe Renna 908-447-1295 • Visit RennaMedia.com CUB SCOUT PACK 145 GIVES BACK THIS HOLIDAY SEASON Submit
clark-monthly,2,908-447-1295,False,", send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com facebook.com/ Cla"
clark-monthly,2,732-388-3900,False,"the new year?EYES ON YOU 1535 Irving Street, Rahway, NJ  RahwayEyeDoctor.com 732-388-3900 Dr. M. Williams Optometric Physician Lic#. 27OA00565300/27OM00062400 • Pe"
clark-monthly,3,732-713-4984,False,2 Meadow Rd. 74 Hall Dr.For a free market analysis call Preferred # Cell: 732-713-4984 Office: 732-396-3995 or email me at Lkaz@comcast.net26 years of excell
clark-monthly,3,732-396-3995,False,r.For a free market analysis call Preferred # Cell: 732-713-4984 Office: 732-396-3995 or email me at Lkaz@comcast.net26 years of excellence.
clark-monthly,4,908-276-9425,False,"pm - 1:30 pm PLEASE CONTACT THE SCHOOL FOR MORE INFORMATION PLEASE CALL (908) 276-9425 100 Alden Street, Cranford, NJ www.smscranford.com E-Mail: saint.michael@"
clark-monthly,6,908-889-2100,False,"gister go onto IHMParish.net/Alpha. If you have any questions, please call 908-889-2100. (above) Scan to register go onto IHMParish.net/Alpha. LOST DOG $2,500 REWARD"
clark-monthly,6,908-370-1903,False,nwood and most recently Plainfield/North Plainfield. CALL 908-370-1903
clark-monthly,8,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
clark-monthly,9,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
clark-monthly,10,896-465-6973,False,HIGH END TILE & FINISH CARPENTRYHIGH END TILE & FINISH CARPENTRY 973-896-4656973-896-4656Molding/Trim Sheet Rock Doors Tile Work  Ineterior & Ext
clark-monthly,10,973-998-5670,False,"n Denver, Colorado, for Sola V oce and Cor Amici For more information, call (973) 998-5670 or email info@njyc.org. Wharton Arts’ mission is to offer accessible, hig"
clark-monthly,11,732-331-9572,False,ly - We support animal rescues QUALITY HOME IMPROVEMENTS AT AFFORDABLE PRICES 732-331-9572 www.MyHandymanAndPainter.comAll Kinds of Home Repairs - No Job Too Small
clark-monthly,12,201-410-8442,False,"ume, Silver, and Gold)  Sterling Silver, European Silver, Antique Silverplate201-410-8442 info@njantiques.com www.njantiques.com 3 East Pleasant Ave. Maywood, NJ"
clark-monthly,15,908-202-1702,False,"CLARK MONTHLY • Page 15 • January 2026 Cell 908-202-1702  O: 908-233-5555 elizabeth.bataille@gmail.com 209 Central Ave,Westfield, N"
clark-monthly,15,908-233-5555,False,"CLARK MONTHLY • Page 15 • January 2026 Cell 908-202-1702  O: 908-233-5555 elizabeth.bataille@gmail.com 209 Central Ave,Westfield, NJ 07090 Elizabet"
clark-monthly,15,908-276-5367,False,"is a referral from a satisfied client. Top 1% Sales Associate Nationwide (908) 276-5367 (201) 666-0003 358 North Avenue East Cranford, NJ www.reynolds-plumbing"
clark-monthly,15,201-666-0003,False,"from a satisfied client. Top 1% Sales Associate Nationwide (908) 276-5367 (201) 666-0003 358 North Avenue East Cranford, NJ www.reynolds-plumbing.net Residential"
clark-monthly,15,908-463-2089,False,"Lic. #11749REYNOLDS PLUMBINGCAN SELL YOUR HOUSE YOURSELF? For That, Call: 908-463-2089 E-mail: fsbowner49@gmail.com Advisory Consultants, Edison, NJ 08817 Initi"
clark-monthly,15,732-382-2272,False,"/Accounting • Custom Tax Strategies • Tax Preparation • Financial Planning732-382-2272 AngeloCPAfirm.com 18 Brant Avenue  Clark, NJ 07066 Serving the Public si"
clark-monthly,15,908-377-1399,False,"and to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399. Courtesy Photoasked to perform a brief acappella song of their choice. No ex"
clark-monthly,15,908-377-1399,False,"d to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399. CAFE FOR THOSE WITH MEMORY LOSS Christ Church, Summit, NJ Too often, those l"
clark-monthly,15,908-273-5549,False,"is $5 per person. RSVP is requested for menu-planning. Contact Brenda Dodds 908 273-5549 or brenda@ccsnj.org. Christ Church is located at 561 Springfield Avenue,"
clark-monthly,16,732-556-7636,False,mpaign. I BUY OLD MOTORCYCLES All Types - Running or Not Call or Text Glenn 732-556-7636 Same Day Pick-up We Pay Cash
clark-monthly,17,732-388-5999,False,CLARK PUBLIC LIBRARY JANUARY EVENTS Website: clarklibrary.org  Phone: 732-388-5999 * Email: librarians@clarklibrary.org Reading Challenge for all ages It’s n
clark-monthly,17,908-272-0370,False,Wrap Platters  Salads  Wings  Chicken Fingers Plan Ahead - Call Today 908-272-0370 See our full menu online at: mrjsdeliincranford.com 15 Walnut Ave. Cranfo
clark-monthly,18,908-447-1295,False,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
clark-monthly,19,908-964-4004,False,"d since 1984 www.vdsnj.com facebook.com/vdsnj email: vdsnjira@gmail.com 908-964-4004 406 Chestnut St.  Union, NJ 07083 Video Tape Transfers  DVD & Flash Driv"
clark-monthly,20,732-381-6776,False,gmail.comWitty’s Fine Wine and Liquors ORDER ONLINE AT www.wittyswine.com 732-381-6776 PICK-UP CURBSIDEORDER ONLINE AT www.metroliquors.com 908-925-1770 PICK-
clark-monthly,20,908-925-1770,False,e.com 732-381-6776 PICK-UP CURBSIDEORDER ONLINE AT www.metroliquors.com 908-925-1770 PICK-UP CURBSIDE OR DELIVERY Visit our facebook page for news of next tasti
cranford-monthly,1,908-276-8062,False,". . . and everything in between, WE CAN HELP. Business license #90966A 908-276-8062 ArnoldsPestControl.com 9 Quine Street, Cranford, NJ 07016CALL TODAY! CRE"
cranford-monthly,1,908-418-5586,False,y and give more families a happy holiday.” Courtesy PhotoCALL FOR DETAILS 908-418-5586 GROW YOUR BUSINESS Place your ad in this space and be in every mailbox
cranford-monthly,2,908-447-1295,False,", send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com facebook.com/ Cra"
cranford-monthly,4,908-528-5080,False,"g on by, pick up your laundry and bring it back clean, fresh and folded 908-528-5080  Pick-Up and Delivery Every Day Monday through Saturday  Special Prici"
cranford-monthly,4,908-377-1399,False,"d to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399. RENNA MEDIA"
cranford-monthly,6,908-884-4083,False,"joining the Cranford Council, please contact our Grand Knight Tom Turner at 908-884-4083, or visit our website: cranfordknights.org (above, l-r) Brother Joseph Patel"
cranford-monthly,6,908-276-9425,False,"pm - 1:30 pm PLEASE CONTACT THE SCHOOL FOR MORE INFORMATION PLEASE CALL (908) 276-9425 100 Alden Street, Cranford, NJ www.smscranford.com E-Mail: saint.michael@"
cranford-monthly,6,908-272-7990,False,"570 South Ave E, Bldg. G | Cranford, NJ 07016 Make your appointment today! 908.272.7990 “Family care for newborns through 100”"
cranford-monthly,7,732-331-9572,False,ly - We support animal rescues QUALITY HOME IMPROVEMENTS AT AFFORDABLE PRICES 732-331-9572 www.MyHandymanAndPainter.comAll Kinds of Home Repairs - No Job Too Small
cranford-monthly,8,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
cranford-monthly,9,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
cranford-monthly,10,201-410-8442,False,"ume, Silver, and Gold)  Sterling Silver, European Silver, Antique Silverplate201-410-8442 info@njantiques.com www.njantiques.com 3 East Pleasant Ave. Maywood, NJ"
cranford-monthly,10,908-884-4083,False,"r more info about joining , please contact our Grand Knight, Tom Turner, at 908-884-4083 or visit our website. Courtesy Photo SPIRITUAL? CURIOUS? SEEKING? Do y"
cranford-monthly,10,908-889-2100,False,"gister go onto IHMParish.net/Alpha. If you have any questions, please call 908-889-2100. a u tBathrooms - Basements - Decks - Tile Additions- Doors/Windows - Moldi"
cranford-monthly,10,908-202-1702,False,Painting - Household Cleanouts Electrical Lic. # 14616 & Plumbing w #8660Cell 908-202-1702  O: 908-233-5555 ElizabethBHomes.com Efax 908-935-0960  elizabeth.bataill
cranford-monthly,10,908-233-5555,False,ld Cleanouts Electrical Lic. # 14616 & Plumbing w #8660Cell 908-202-1702  O: 908-233-5555 ElizabethBHomes.com Efax 908-935-0960  elizabeth.bataille@gmail.com 209
cranford-monthly,10,908-935-0960,False,"lumbing w #8660Cell 908-202-1702  O: 908-233-5555 ElizabethBHomes.com Efax 908-935-0960  elizabeth.bataille@gmail.com 209 Central Ave,Westfield, NJ 07090 Elizabet"
cranford-monthly,10,908-463-2089,False,"Sales Associate NationwideCAN SELL YOUR HOUSE YOURSELF? For That, Call: 908-463-2089 E-mail: fsbowner49@gmail.com Advisory Consultants, Edison, NJ 08817 Initi"
cranford-monthly,10,908-276-4777,False,"irection.HOBBIE & HOBBIE ATTORNEYS AT LAW, LLCEDWARD J. HOBBIE MARK E. HOBBIE 908-276-4777 hobbieandhobbie.com fax: 908-709-1663 edward@hobbieandhobbie.com mark@hob"
cranford-monthly,10,908-709-1663,False,"W, LLCEDWARD J. HOBBIE MARK E. HOBBIE 908-276-4777 hobbieandhobbie.com fax: 908-709-1663 edward@hobbieandhobbie.com mark@hobbieandhobbie.com 476 South Avenue. East,"
cranford-monthly,11,908-884-4083,False,"joining the Cranford Council, please contact our Grand Knight Tom Turner at 908-884-4083 or visit our web site, cranfordknights.org. ALL PIPES Plumbing Heating and"
cranford-monthly,11,908-499-9092,False,"tioning Master Plumber Lic. #12951 Located in Cranford, NJ Joe Neglio 908-499-9092 Bonded & Insured HIGH END TILE & FINISH CARPENTRYHIGH END TILE & FINIS"
cranford-monthly,11,896-465-6973,False,ured HIGH END TILE & FINISH CARPENTRYHIGH END TILE & FINISH CARPENTRY 973-896-4656973-896-4656Molding/Trim Sheet Rock Doors Tile Work  Painting  Inte
cranford-monthly,12,908-276-5367,False,"tfield Regional Health Department, on behalf of the Mayors Wellness Campaign. (908) 276-5367 (201) 666-0003 358 North Avenue East Cranford, NJ www.reynolds-plumbing"
cranford-monthly,12,201-666-0003,False,"ealth Department, on behalf of the Mayors Wellness Campaign. (908) 276-5367 (201) 666-0003 358 North Avenue East Cranford, NJ www.reynolds-plumbing.net Residential"
cranford-monthly,13,908-709-7272,False,"LIBRARY JANUARY PROGRAMS 224 Walnut Avenue, Cranford, NJ 07016  Tel: 908-709-7272  Email: cranfordlibrary@cranfordlibrary.org  cranfordlibrary.org CHILDREN"
cranford-monthly,13,908-272-0370,False,Wrap Platters  Salads  Wings  Chicken Fingers Plan Ahead - Call Today 908-272-0370 See our full menu online at: mrjsdeliincranford.com 15 Walnut Ave. Cranfo
cranford-monthly,13,908-955-8700,False,"oot Sub Sandwiches  Sloppy Joe Platters  Hot & Cold Foods  Sub Platters 908-955-8700 108 Walnut Ave.  Cranford,NJ HOURS: Tue & Wed: 10a - 6pm Thu & Fri:"
cranford-monthly,14,908-447-1295,True,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
cranford-monthly,15,908-964-4004,False,"d since 1984 www.vdsnj.com facebook.com/vdsnj email: vdsnjira@gmail.com 908-964-4004 406 Chestnut St.  Union, NJ 07083 Video Tape Transfers  DVD & Flash Driv"
cranford-monthly,16,908-789-1551,False,"blems? Call us to get you approved! Like us on Facebook!!!507-13 South Avenue 908-789-1551 150 South Avenue 908-789-0555 Fax 908-789-1792 LOOKING FOR A CAR, TRUCK OR"
cranford-monthly,16,908-789-0555,False,"ed! Like us on Facebook!!!507-13 South Avenue 908-789-1551 150 South Avenue 908-789-0555 Fax 908-789-1792 LOOKING FOR A CAR, TRUCK OR SUV? Visit our lots or shop at"
cranford-monthly,16,908-789-1792,False,"cebook!!!507-13 South Avenue 908-789-1551 150 South Avenue 908-789-0555 Fax 908-789-1792 LOOKING FOR A CAR, TRUCK OR SUV? Visit our lots or shop at home. Search over"
east-hanover-view,1,908-447-1295,False,your business. Mailed to every home and business in 30 towns! Call Joe Renna 908-447-1295 • Visit RennaMedia.com SENIOR CITIZENS CLUB HOLIDAY LUNCHEON The East Hanover S
east-hanover-view,2,908-447-1295,False,", send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com and on facebook.c"
east-hanover-view,2,973-566-9999,False,k.com Residential and Commercial Call for a FREE consultation and estimate: 973-566-9999 In business for 35 years using state-of-the-art equipment and professionall
east-hanover-view,2,908-889-2100,False,"gister go onto IHMParish.net/Alpha. If you have any questions, please call 908-889-2100."
east-hanover-view,4,908-273-5549,False,"is $5 per person. RSVP is requested for menu-planning. Contact Brenda Dodds 908 273-5549 or brenda@ccsnj.org. Christ Church is located at 561 Springfield Avenue,"
east-hanover-view,6,908-377-1399,False,"and to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399. Courtesy Photoasked to perform a brief acappella song of their choice. No ex"
east-hanover-view,6,908-377-1399,False,"d to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399."
east-hanover-view,7,973-525-6418,False,2026 ooo ASSUREooo PEST SERVICES Safe • Professional • Affordable 973-525-6418 MorrisCountyExterminator.com 20 Years Experience • Insured • License #99814
east-hanover-view,7,973-285-6930,False,"wnMORRIS COUNTY LIBRARY JANUARY EVENTS 30 E Hanover Ave, Whippany, NJ 07981  (973) 285-6930  www.mclib.info Lunch & Learn: Wills, Trusts, & Estates Fri., Jan. 23, 12:00"
east-hanover-view,7,732-556-7636,False,irector I BUY OLD MOTORCYCLES All Types - Running or Not Call or Text Glenn 732-556-7636 Same Day Pick-up We Pay Cash
east-hanover-view,8,908-486-1777,False,"n Session on Wednesday, January 7, 2026, please call Literacy New Jersey at 908-486-1777 x400 or email Barbara Bagger, Program Director, at bbagger@literacynj.org."
east-hanover-view,8,908-486-1777,False,"on Session on Wednesday January 7, 2026, please call Literacy New Jersey at 908-486-1777 x400 or email Barbara Bagger, Program Director, at bbagger@literacynj.org. Th"
east-hanover-view,8,973-998-5670,False,"n Denver, Colorado, for Sola V oce and Cor Amici For more information, call (973) 998-5670 or email info@njyc.org. Wharton Arts is New Jersey’s largest independent"
east-hanover-view,10,908-447-1295,False,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
east-hanover-view,11,908-964-4004,False,"d since 1984 www.vdsnj.com facebook.com/vdsnj email: vdsnjira@gmail.com 908-964-4004 406 Chestnut St.  Union, NJ 07083 Video Tape Transfers  DVD & Flash Driv"
elmora-hills,1,908-447-1295,False,or 6th Episode of Mind Your Own Local Business on YouTube. Call Joe Renna 908-447-1295
elmora-hills,2,908-447-1295,False,", send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com facebook.com/ Elm"
elmora-hills,2,908-889-2100,False,"gister go onto IHMParish.net/Alpha. If you have any questions, please call 908-889-2100."
elmora-hills,3,908-355-7600,False,"h Chamber of Commerce and its benefits, please contact Jennifer M. Costa at 908-355-7600 or via email at jcosta@goelizabethnj.com. For more details, please visit el"
elmora-hills,4,732-556-7636,False,izabeth I BUY OLD MOTORCYCLES All Types - Running or Not Call or Text Glenn 732-556-7636 Same Day Pick-up We Pay Cash
elmora-hills,5,908-528-5080,False,"g on by, pick up your laundry and bring it back clean, fresh and folded 908-528-5080  Pick-Up and Delivery Every Day Monday through Saturday  Special Prici"
elmora-hills,5,908-273-5549,False,"is $5 per person. RSVP is requested for menu-planning. Contact Brenda Dodds 908 273-5549 or brenda@ccsnj.org. Christ Church is located at 561 Springfield Avenue,"
elmora-hills,6,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
elmora-hills,7,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
elmora-hills,8,732-391-3466,False,"l.com Email: info@completesol.com Call for a Free, No Obligation Consultation 732-391-3466GOT COMPUTER PROBLEMS? SPECIALIZING IN NETWORKS FOR SMALL BUSINESSES"
elmora-hills,9,908-355-2253,False,"AvailableKnights of Columbus Council 253 328 Union Avenue Elizabeth, NJ 908-355-2253Great Place for Parties for up to 95 People! Celebrate your next event  B"
elmora-hills,9,973-998-5670,False,"n Denver, Colorado, for Sola V oce and Cor Amici For more information, call (973) 998-5670 or email info@njyc.org. Wharton Arts’ mission is to offer accessible, hi"
elmora-hills,9,908-463-2089,False,"chieve their personal best. CAN SELL YOUR HOUSE YOURSELF? For That, Call: 908-463-2089 E-mail: fsbowner49@gmail.com Advisory Consultants, Edison, NJ 08817 Initi"
elmora-hills,10,908-447-1295,False,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
elmora-hills,11,908-964-4004,False,"owned since 1984 www.vdsnj.com facebook.com/vdsnj email: ira@vdsnj.com 908-964-4004 406 Chestnut St.  Union, NJ 07083HOME MOVIES TRANSFERRED to digital file"
fanwood-post,1,908-447-1295,False,"your business. Mailed to every home and business in 30 towns! Call Joe Renna 908-447-1295 • Visit RennaMedia.com Mary DePaola Broker Associate Personal, Profession"
fanwood-post,1,908-963-8673,False,"ven Coldwell Banker Realty 209 Central Avenue Westfield, NJ 07090 Cell: 908-963-8673 (Best #) Office: 908-233-5555 Mary.depaola@cbrealty.comNew Year! New House?"
fanwood-post,1,908-233-5555,False,"09 Central Avenue Westfield, NJ 07090 Cell: 908-963-8673 (Best #) Office: 908-233-5555 Mary.depaola@cbrealty.comNew Year! New House? SELLER SEMINAR JANUARY 12,"
fanwood-post,2,908-447-1295,False,", send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com facebook.com/ Fan"
fanwood-post,2,908-889-2100,False,"gister go onto IHMParish.net/Alpha. If you have any questions, please call 908-889-2100."
fanwood-post,4,908-272-0370,False,Wrap Platters  Salads  Wings  Chicken Fingers Plan Ahead - Call Today 908-272-0370 See our full menu online at: mrjsdeliincranford.com 15 Walnut Ave. Cranfo
fanwood-post,4,908-463-2089,False,"Cold Foods  Sub Platters CAN SELL YOUR HOUSE YOURSELF? For That, Call: 908-463-2089 E-mail: fsbowner49@gmail.com Advisory Consultants, Edison, NJ 08817 Initi"
fanwood-post,5,908-370-1903,False,nwood and most recently Plainfield/North Plainfield. CALL 908-370-1903 I BUY OLD MOTORCYCLES All Types - Running or Not Call or Text Glenn 732-556
fanwood-post,5,732-556-7636,False,70-1903 I BUY OLD MOTORCYCLES All Types - Running or Not Call or Text Glenn 732-556-7636 Same Day Pick-up We Pay Cash
fanwood-post,6,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
fanwood-post,7,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
fanwood-post,8,908-377-1399,False,"and to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399. Courtesy Photoasked to perform a brief acappella song of their choice. No ex"
fanwood-post,8,908-377-1399,False,"d to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399."
fanwood-post,10,908-447-1295,False,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
fanwood-post,11,908-964-4004,False,"d since 1984 www.vdsnj.com facebook.com/vdsnj email: vdsnjira@gmail.com 908-964-4004 406 Chestnut St.  Union, NJ 07083 Video Tape Transfers  DVD & Flash Driv"
fanwood-post,12,732-331-9572,False,ly - We support animal rescues QUALITY HOME IMPROVEMENTS AT AFFORDABLE PRICES 732-331-9572 www.MyHandymanAndPainter.comAll Kinds of Home Repairs - No Job Too Small
florham-park-press,1,908-447-1295,False,your business. Mailed to every home and business in 30 towns! Call Joe Renna 908-447-1295 • Visit RennaMedia.com
florham-park-press,2,908-447-1295,False,"), send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com facebook.com/ Flo"
florham-park-press,2,973-566-9999,False,Press Residential and Commercial Call for a FREE consultation and estimate: 973-566-9999 In business for 35 years using state-of-the-art equipment and professionall
florham-park-press,2,908-889-2100,False,"gister go onto IHMParish.net/Alpha. If you have any questions, please call 908-889-2100."
florham-park-press,4,908-273-5549,False,"is $5 per person. RSVP is requested for menu-planning. Contact Brenda Dodds 908 273-5549 or brenda@ccsnj.org. Christ Church is located at 561 Springfield Avenue,"
florham-park-press,7,973-635-0036,False,Park Press  Page 7 • January 2026 301 Main Street • Chatham 973-635-0036 • www.drmurphy.comCelebrating Our 42nd Year! “YOUR BETTER HEALTH IS OUR ON
florham-park-press,7,973-377-1006,False,he Suburban Chiropractic Center by visiting their website at drmurphy.com. 973-377-1006  dohertyroofingcompany.com josephdohertycompany@gmail.com 54 Burnet Road•
florham-park-press,7,973-285-6930,False,"MORRIS COUNTY LIBRARY JANUARY EVENTS 30 E Hanover Ave, Whippany, NJ 07981  (973) 285-6930  www.mclib.info Lunch & Learn: Wills, Trusts, & Estates Fri., Jan. 23, 12:00"
florham-park-press,8,908-377-1399,False,"and to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399. Courtesy Photoasked to perform a brief acappella song of their choice. No ex"
florham-park-press,8,908-377-1399,False,"d to schedule your audition, email us at info@hickorytreechorus.org or call 908-377-1399."
florham-park-press,10,908-447-1295,False,Home & Business in 30 Towns! Advertise in any number of townsJoe Renna 908-447-1295 joerenna@rennamedia.comRENNA MEDIA NEWSPAPERS RATE SHEET Call today for FRE
florham-park-press,11,908-964-4004,False,"d since 1984 www.vdsnj.com facebook.com/vdsnj email: vdsnjira@gmail.com 908-964-4004 406 Chestnut St.  Union, NJ 07083 Video Tape Transfers  DVD & Flash Driv"
garwood-times,1,908-447-1295,False,your business. Mailed to every home and business in 30 towns! Call Joe Renna 908-447-1295 • Visit RennaMedia.comBUILD YOUR ONLINE PRESENCE: DFY* SERVICE *DONE FO
garwood-times,2,908-447-1295,False,", send us your news! Email: editor@rennamedia.com ADVERTISING Joe Renna: 908-447-1295 joerenna@rennamedia.com Find us on online: rennamedia.com facebook.com/ Gar"
garwood-times,2,908-202-1702,False,"Painting - Household Cleanouts Electrical Lic. # 14616 & Plumbing w #8660Cell 908-202-1702  O: 908-233-5555 elizabeth.bataille@gmail.com 209 Central Ave,Westfield, N"
garwood-times,2,908-233-5555,False,"ld Cleanouts Electrical Lic. # 14616 & Plumbing w #8660Cell 908-202-1702  O: 908-233-5555 elizabeth.bataille@gmail.com 209 Central Ave,Westfield, NJ 07090 Elizabet"
garwood-times,2,908-789-1670,False,"tionwideLIBRARY JANUARY PROGRAMS 411 Third Ave  www.https://garwoodpl.org  908-789-1670 or email garwoodlibrary@garwood.org HOURS: Mon, Tues and Thurs 9 am to 8 pm"
garwood-times,2,732-556-7636,False,ory. I BUY OLD MOTORCYCLES All Types - Running or Not Call or Text Glenn 732-556-7636 Same Day Pick-up We Pay Cash
garwood-times,3,908-276-9425,False,"pm - 1:30 pm PLEASE CONTACT THE SCHOOL FOR MORE INFORMATION PLEASE CALL (908) 276-9425 100 Alden Street, Cranford, NJ www.smscranford.com E-Mail: saint.michael@"
garwood-times,4,609-781-6559,False,Appropriate Boxes & Paper Work. Speak to the company’s owner: Marshall Smoller: 609-781-6559WATCHES - Rolex - Cartier - Patek Philippe - Pocket WatchesBUYING ALL ST
