phone,num_papers,papers,first_context
201-410-8442,10,clark-monthly;cranford-monthly;livingston-monthly;madison-monthly;millburn-short-hills-monthly;morris-township-times;morristown-monthly;summit-times;the-chathams;westfield-monthly,"ume, Silver, and Gold)  Sterling Silver, European Silver, Antique Silverplate201-410-8442 info@njantiques.com www.njantiques.com 3 East Pleasant Ave. Maywood, NJ"
908-276-9425,9,clark-monthly;cranford-monthly;garwood-times;kenilworth-business-life;life-in-linden;our-town-rahway;roselle-park-monthly;spirit-of-union;westfield-monthly,"pm - 1:30 pm PLEASE CONTACT THE SCHOOL FOR MORE INFORMATION PLEASE CALL (908) 276-9425 100 Alden Street, Cranford, NJ www.smscranford.com E-Mail: saint.michael@"
973-998-5670,9,clark-monthly;east-hanover-view;elmora-hills;kenilworth-business-life;life-in-roseland;madison-monthly;millburn-short-hills-monthly;roselle-park-monthly;scotch-plains-monthly,"n Denver, Colorado, for Sola V oce and Cor Amici For more information, call (973) 998-5670 or email info@njyc.org. Wharton Arts’ mission is to offer accessible, hig"
908-233-5555,8,clark-monthly;cranford-monthly;fanwood-post;garwood-times;life-in-linden;millburn-short-hills-monthly;scotch-plains-monthly;westfield-monthly,"CLARK MONTHLY • Page 15 • January 2026 Cell 908-202-1702  O: 908-233-5555 elizabeth.bataille@gmail.com 209 Central Ave,Westfield, NJ 07090 Elizabet"
732-391-3466,7,elmora-hills;green-brook-gazette;livingston-monthly;madison-monthly;new-providence-news;roselle-park-monthly;watchung-post,"l.com Email: info@completesol.com Call for a Free, No Obligation Consultation 732-391-3466GOT COMPUTER PROBLEMS? SPECIALIZING IN NETWORKS FOR SMALL BUSINESSES"
908-272-0370,7,clark-monthly;cranford-monthly;fanwood-post;kenilworth-business-life;scotch-plains-monthly;spirit-of-union;westfield-monthly,Wrap Platters  Salads  Wings  Chicken Fingers Plan Ahead - Call Today 908-272-0370 See our full menu online at: mrjsdeliincranford.com 15 Walnut Ave. Cranfo
973-285-6930,7,east-hanover-view;florham-park-press;hanover-township-press;long-hill-leader;madison-monthly;morris-township-times;morristown-monthly,"wnMORRIS COUNTY LIBRARY JANUARY EVENTS 30 E Hanover Ave, Whippany, NJ 07981  (973) 285-6930  www.mclib.info Lunch & Learn: Wills, Trusts, & Estates Fri., Jan. 23, 12:00"
201-666-0003,6,clark-monthly;cranford-monthly;kenilworth-business-life;life-in-linden;scotch-plains-monthly;westfield-monthly,"from a satisfied client. Top 1% Sales Associate Nationwide (908) 276-5367 (201) 666-0003 358 North Avenue East Cranford, NJ www.reynolds-plumbing.net Residential"
896-465-6973,6,clark-monthly;cranford-monthly;mountainside-view;scotch-plains-monthly;watchung-post;westfield-monthly,HIGH END TILE & FINISH CARPENTRYHIGH END TILE & FINISH CARPENTRY 973-896-4656973-896-4656Molding/Trim Sheet Rock Doors Tile Work  Ineterior & Ext
908-202-1702,6,clark-monthly;cranford-monthly;garwood-times;life-in-linden;scotch-plains-monthly;westfield-monthly,"CLARK MONTHLY • Page 15 • January 2026 Cell 908-202-1702  O: 908-233-5555 elizabeth.bataille@gmail.com 209 Central Ave,Westfield, N"
908-273-3873,6,berkeley-heights-news;millburn-short-hills-monthly;mountainside-view;new-providence-news;summit-times;the-chathams,Comfortable & Caring Dentistry Call Us Today to Request an Appointment! 908-273-3873 www.summitdentist.com NO DENTAL INSURANCE? NO PROBLEM. Join our in-hous
908-276-5367,6,clark-monthly;cranford-monthly;kenilworth-business-life;life-in-linden;scotch-plains-monthly;westfield-monthly,"is a referral from a satisfied client. Top 1% Sales Associate Nationwide (908) 276-5367 (201) 666-0003 358 North Avenue East Cranford, NJ www.reynolds-plumbing"
908-370-1903,6,clark-monthly;fanwood-post;life-in-linden;our-town-rahway;scotch-plains-monthly;westfield-monthly,nwood and most recently Plainfield/North Plainfield. CALL 908-370-1903
908-463-2089,6,clark-monthly;cranford-monthly;elmora-hills;fanwood-post;our-town-rahway;spirit-of-union,"Lic. #11749REYNOLDS PLUMBINGCAN SELL YOUR HOUSE YOURSELF? For That, Call: 908-463-2089 E-mail: fsbowner49@gmail.com Advisory Consultants, Edison, NJ 08817 Initi"
973-377-1006,6,florham-park-press;hanover-township-press;madison-monthly;morris-township-times;morristown-monthly;the-chathams,he Suburban Chiropractic Center by visiting their website at drmurphy.com. 973-377-1006  dohertyroofingcompany.com josephdohertycompany@gmail.com 54 Burnet Road•
973-428-0405,6,mountainside-view;new-providence-news;summit-times;the-chathams;watchung-post;westfield-monthly,"73-467-4688 Riverwalk Plaza 34 Ridgedale Avenue East Hanover, NJ 07936 973-428-0405 Private Lessons on All Instruments & Voice  All Ages & Levels of Ability"
973-467-4688,6,mountainside-view;new-providence-news;summit-times;the-chathams;watchung-post;westfield-monthly,"Certified Teachers 2 LOCATIONS 276 Morris Avenue Springfield, NJ 07081 973-467-4688 Riverwalk Plaza 34 Ridgedale Avenue East Hanover, NJ 07936 973-428-040"
973-635-4565,6,life-in-roseland;livingston-monthly;long-hill-leader;madison-monthly;millburn-short-hills-monthly;the-chathams,"ad, Chatham Mon through Fri from 9 a.m. to 3 p.m. For more information call 973-635-4565 or visit chathamseniorcenter.org. (above) Our thanks to the Town and Countr"
908-355-2253,5,elmora-hills;kenilworth-business-life;life-in-linden;roselle-park-monthly;spirit-of-union,"AvailableKnights of Columbus Council 253 328 Union Avenue Elizabeth, NJ 908-355-2253Great Place for Parties for up to 95 People! Celebrate your next event  B"
908-418-5586,5,cranford-monthly;green-brook-gazette;livingston-monthly;long-hill-leader;watchung-post,y and give more families a happy holiday.” Courtesy PhotoCALL FOR DETAILS 908-418-5586 GROW YOUR BUSINESS Place your ad in this space and be in every mailbox
908-528-5080,5,cranford-monthly;elmora-hills;life-in-linden;roselle-park-monthly;spirit-of-union,"g on by, pick up your laundry and bring it back clean, fresh and folded 908-528-5080  Pick-Up and Delivery Every Day Monday through Saturday  Special Prici"
732-369-6824,4,green-brook-gazette;long-hill-leader;warren-monthly;watchung-post,estabistrogreenbrooknj.com Call ahead for take out or delivery by DOORDASH 732-369-6824 328 Greenbrook Road • Greenbrook NJ• We are a locally-owned eatery run by a c
732-388-3900,4,clark-monthly;life-in-linden;our-town-rahway;spirit-of-union,"the new year?EYES ON YOU 1535 Irving Street, Rahway, NJ  RahwayEyeDoctor.com 732-388-3900 Dr. M. Williams Optometric Physician Lic#. 27OA00565300/27OM00062400 • Pe"
908-251-9441,4,new-providence-news;scotch-plains-monthly;summit-times;westfield-monthly,"New Providence NEWS  Page 6 • January 2026 908-251-9441 Mrhandyman.comOn Time. Done right. Guaranteed. 10% OFF LABOR On labor only,"
908-486-1777,4,east-hanover-view;livingston-monthly;mountainside-view;the-chathams,"n Session on Wednesday, January 7, 2026, please call Literacy New Jersey at 908-486-1777 x400 or email Barbara Bagger, Program Director, at bbagger@literacynj.org."
908-955-8700,4,cranford-monthly;kenilworth-business-life;scotch-plains-monthly;spirit-of-union,"oot Sub Sandwiches  Sloppy Joe Platters  Hot & Cold Foods  Sub Platters 908-955-8700 108 Walnut Ave.  Cranford,NJ HOURS: Tue & Wed: 10a - 6pm Thu & Fri:"
732-381-6776,3,clark-monthly;life-in-linden;our-town-rahway,gmail.comWitty’s Fine Wine and Liquors ORDER ONLINE AT www.wittyswine.com 732-381-6776 PICK-UP CURBSIDEORDER ONLINE AT www.metroliquors.com 908-925-1770 PICK-
732-752-6677,3,green-brook-gazette;warren-monthly;watchung-post,"elp carry this legacy forward into the next generation. (above) Summer Camps 732.752.6677 223-B Route 22 E, Green Brook, NJ accessselfstorage.com *Offer expires De"
908-234-2382,3,green-brook-gazette;scotch-plains-monthly;summit-times,"Green Brook Gazette  Page 8  January 2026 DO YOU NEED A DUMPSTER? 908-234-2382 Fast, Friendly, Reliable ServiceCall to Reserve One TodayProfessional Deliver"
908-370-3700,3,berkeley-heights-news;new-providence-news;summit-times,"n administration ALL BREEDS, ALL NEEDSJulia DeMilio DOG WALKER & PET SITTER 908-370-3700 juliademilio@gmail.comNEW PRINCIPAL MS. MEG BERRY TO TAKE HELM OF GLHS Be"
908-725-5430,3,long-hill-leader;warren-monthly;watchung-post,"more info, visit literacysomerset.org, email info@literacysomerset.org, call (908) 725-5430."
908-753-9440,3,green-brook-gazette;warren-monthly;watchung-post,00 Warrenville Road. All the programs are FREE for the registered members. Call (908) 753-9440 for more information. Computer Lab – Available daily. Participants are invite
908-789-0555,3,cranford-monthly;scotch-plains-monthly;westfield-monthly,"ed! Like us on Facebook!!!507-13 South Avenue 908-789-1551 150 South Avenue 908-789-0555 Fax 908-789-1792 LOOKING FOR A CAR, TRUCK OR SUV? Visit our lots or shop at"
908-789-1551,3,cranford-monthly;scotch-plains-monthly;westfield-monthly,"blems? Call us to get you approved! Like us on Facebook!!!507-13 South Avenue 908-789-1551 150 South Avenue 908-789-0555 Fax 908-789-1792 LOOKING FOR A CAR, TRUCK OR"
908-789-1792,3,cranford-monthly;scotch-plains-monthly;westfield-monthly,"cebook!!!507-13 South Avenue 908-789-1551 150 South Avenue 908-789-0555 Fax 908-789-1792 LOOKING FOR A CAR, TRUCK OR SUV? Visit our lots or shop at home. Search over"
908-925-1770,3,clark-monthly;life-in-linden;our-town-rahway,e.com 732-381-6776 PICK-UP CURBSIDEORDER ONLINE AT www.metroliquors.com 908-925-1770 PICK-UP CURBSIDE OR DELIVERY Visit our facebook page for news of next tasti
908-355-7600,2,elmora-hills;life-in-linden,"h Chamber of Commerce and its benefits, please contact Jennifer M. Costa at 908-355-7600 or via email at jcosta@goelizabethnj.com. For more details, please visit el"
908-935-0960,2,cranford-monthly;westfield-monthly,"lumbing w #8660Cell 908-202-1702  O: 908-233-5555 ElizabethBHomes.com Efax 908-935-0960  elizabeth.bataille@gmail.com 209 Central Ave,Westfield, NJ 07090 Elizabet"
908-963-8673,2,fanwood-post;scotch-plains-monthly,"ven Coldwell Banker Realty 209 Central Avenue Westfield, NJ 07090 Cell: 908-963-8673 (Best #) Office: 908-233-5555 Mary.depaola@cbrealty.comNew Year! New House?"
973-525-6418,2,east-hanover-view;madison-monthly,2026 ooo ASSUREooo PEST SERVICES Safe • Professional • Affordable 973-525-6418 MorrisCountyExterminator.com 20 Years Experience • Insured • License #99814
973-538-2592,2,morris-township-times;morristown-monthly,ll devices and passwords. Sessions limited to one per person per week. Call 973-538-2592 for more info. FRIENDS OF THE LIBRARY BOOK SALES: every Tuesday and the 1s
973-538-6161,2,morris-township-times;morristown-monthly,"MORRISTOWN & MORRIS TOWNSHIP LIBRARY 1 Miller Road, Morristown, NJ 07960  973-538-6161 www.MMTLibrary.org  Email: refdesk@mmt.mainlib.org TECH HELP Tues through"
201-600-3530,1,livingston-monthly,tectors • FREE Estimates SENIOR CITIZEN DISCOUNT - 24 HOUR EMERGENCY SERVICE 201-600-3530 SHORT CIRCUIT SPECIALISTLic.# 888400Bonded & InsuredWIRED RITE ELECTRICA
732-236-4781,1,green-brook-gazette,l handle the other 9) For Your Complimentary MARKET ANALYSIS call or text 732-236-4781 or email bseif@eabrealty.com office: 732-529-0308This is the best time of
732-382-2272,1,clark-monthly,"/Accounting • Custom Tax Strategies • Tax Preparation • Financial Planning732-382-2272 AngeloCPAfirm.com 18 Brant Avenue  Clark, NJ 07066 Serving the Public si"
732-388-5999,1,clark-monthly,CLARK PUBLIC LIBRARY JANUARY EVENTS Website: clarklibrary.org  Phone: 732-388-5999 * Email: librarians@clarklibrary.org Reading Challenge for all ages It’s n
732-396-3995,1,clark-monthly,r.For a free market analysis call Preferred # Cell: 732-713-4984 Office: 732-396-3995 or email me at Lkaz@comcast.net26 years of excellence.
732-529-0308,1,green-brook-gazette,ALYSIS call or text 732-236-4781 or email bseif@eabrealty.com office: 732-529-0308This is the best time of year to plan your next big move! Looking forward to
732-713-4984,1,clark-monthly,2 Meadow Rd. 74 Hall Dr.For a free market analysis call Preferred # Cell: 732-713-4984 Office: 732-396-3995 or email me at Lkaz@comcast.net26 years of excell
732-968-0700,1,green-brook-gazette,e in 2026? Call to Find Out How Much Your Home is Worth! - “We Can Help!” 732-968-0700 www.eraboniakowski.com • email ERA@eabrealty.com We have been helping familie
877-232-2142,1,scotch-plains-monthly,"FINRA, SIPC. Main Office: 151 North 8th Street, Suite 450, Lincoln, NE 68508. (877) 232-2142. Check the background of this firm on FINRA’s BrokerCheck we bsite http://broke"
908-228-5791,1,westfield-monthly,"Included: Music, Sign Language, Spanish 751 Central Avenue  Westfield, NJ  908-228-5791  LightbridgeAcademy.com FULL-DAY KINDERGARTEN  Wrap Platters  Salads  Win"
908-230-4800,1,new-providence-news,NBS NJAR Distinguished Sales Club NJAR Circle of Excellence ’92-’21 Cell: 908-230-4800 Eileen@SergentRealEstate.comBuying or Selling in this market is stressful!
908-230-9214,1,summit-times,"orsiello Ranked #3 in NJ for Q1 sales volume, BHHS network C: 908.230.9214Karen M. Canniffe Honored with the Pillar Award for community service by"
908-232-1776,1,westfield-monthly,"useum is located at 614 Mountain Avenue in Westfield, NJ. Call the museum at 908-232-1776 or email millercorymuseum@gmail.com for more information. Since 1968, the 5"
908-233-6300,1,scotch-plains-monthly,"work as hard as you did Nelson Espeland , Personal Financial Representative 908-233-6300 nelson@allstate.com 2284 South Avenue, Scotch Plains Mary DePaola Broker"
908-245-2456,1,roselle-park-monthly,"LLE PARK VETERANS MEMORIAL LIBRARY 404 Chestnut St., Roselle Park, NJ 07204  (908)245-2456  library@rosellepark.net PROGRAMS MARKED *** HA VE LIMITED SPOTS! Registrat"
908-264-3100,1,the-chathams,"red in English and Spanish. For more information, please contact Imagine at 908-264-3100 or info@imaginenj.org or visit our website at imaginenj.org. (above) Particip"
908-272-7990,1,cranford-monthly,"570 South Ave E, Bldg. G | Cranford, NJ 07016 Make your appointment today! 908.272.7990 “Family care for newborns through 100”"
908-273-0400,1,summit-times,"Berkshire Hathaway affiliate. 392 Springfield Ave., Summit, NJ 07901 Office: 908-273-0400 Denise Torsiello Ranked #3 in NJ for Q1 sales volume, BHHS netw"
908-276-2451,1,kenilworth-business-life,orthlibrary.org.Registration for programs may be done in person or by calling 908 276-2451.The Library is handicapped accessible. facebook.com/kenilworthworth.public.libr
908-276-4777,1,cranford-monthly,"irection.HOBBIE & HOBBIE ATTORNEYS AT LAW, LLCEDWARD J. HOBBIE MARK E. HOBBIE 908-276-4777 hobbieandhobbie.com fax: 908-709-1663 edward@hobbieandhobbie.com mark@hob"
908-276-8062,1,cranford-monthly,". . . and everything in between, WE CAN HELP. Business license #90966A 908-276-8062 ArnoldsPestControl.com 9 Quine Street, Cranford, NJ 07016CALL TODAY! CRE"
908-298-3830,1,life-in-linden,"Y PROGRAMS To register for events please go to LindenLibrary-NJ.gov or call 908-298-3830. Space is limited. Like us on Facebook, Follow us on Instagram. CHILDREN:"
908-325-5000,1,green-brook-gazette,uary 2026 Roseann O’Keefe Broker Associate Direct: 908.720.9205 Office: 908.325.5000 Email: RO@RoseannOKeefe.com www.RoseannOKeefe.com102 TOWN CENTER DRIVE WA
908-370-1123,1,berkeley-heights-news,We would love to help you get to the next chapter of your life. Call today 908-370-1123 Your local neighborhood experts. Vincent Cirincione Realtor 973-390-3826
908-379-9731,1,millburn-short-hills-monthly,"n Law Group LLC, Representing You. Real Estate • Wills, Trusts Estates (908) 379-9731 350 Springfield Ave, Suite 200, Summit, New Jersey 07901 AMBrownLawGroup.co"
908-499-9092,1,cranford-monthly,"tioning Master Plumber Lic. #12951 Located in Cranford, NJ Joe Neglio 908-499-9092 Bonded & Insured HIGH END TILE & FINISH CARPENTRYHIGH END TILE & FINIS"
908-522-1800,1,new-providence-news,"ECRWSSPRSRT STD U.S. POSTAGE PAID LANCANSTER, PA PERMIT NO. 1325 Office 908-522-1800 401 Springfield Ave, Summit, NJ LOOKING FOR SUCCESS Affiliated real estate ag"
908-522-9444,1,berkeley-heights-news,eley Heights News • Page 6 • January 2026 ACHIEVERS 908-522-9444Each office is individually owned and operated. Serving all your real estate nee
908-577-0977,1,millburn-short-hills-monthly,"roup.com amb@ambrownlawgroup.com Deborah Citarella, Sales Associate Cell: (908) 577-0977 Office: (908) 233-5555 Deborah.Citarella@CBRealty.comTHINKING OF SELLING TH"
908-625-4891,1,summit-times,with the Pillar Award for community service by Overlook Auxiliary C: 908.625.4891 Denise.Torsiello@foxroach.com www.DeniseTorsiello.comKaren.Canniffe@foxroach.
908-625-7097,1,mountainside-view,"info about Rotary and to confirm our meeting schedule,rotaryrose@yahoo.com, 908-625-7097. (above, left) Christopher Kinney, Superintendent of Mountainside Schools, (ri"
908-625-8959,1,watchung-post,"information about the Club, and how to become a member contact Mary Oborne at 908-625-8959."
908-665-0046,1,new-providence-news,• January 2026 DECORSO COMMUNITY CENTER UPCOMING EVENTS FOR SENIORS (908) 665-0046  e-mail: decorsocenter@newprov.us  newprov.us/278/Seniors  Monday-Friday f
908-665-0311,1,new-providence-news,"Y EVENTS AT NEW PROVIDENCE MEMORIAL LIBRARY 377 Elkwood Ave, New Providence  908-665-0311  newprovidencelibrary.org Monday, Tuesday, Thursday: 10:00 AM - 8:30 PM; Wed"
908-672-2447,1,warren-monthly,"LANCANSTER, PA PERMIT NO. 1325 IT'S A GREAT TIME TO SELL Call Brenda 908-672-2447 For Superior Marketing, Maximum Exposure, & the Highest Level of Servic"
908-709-1663,1,cranford-monthly,"W, LLCEDWARD J. HOBBIE MARK E. HOBBIE 908-276-4777 hobbieandhobbie.com fax: 908-709-1663 edward@hobbieandhobbie.com mark@hobbieandhobbie.com 476 South Avenue. East,"
908-709-7272,1,cranford-monthly,"LIBRARY JANUARY PROGRAMS 224 Walnut Avenue, Cranford, NJ 07016  Tel: 908-709-7272  Email: cranfordlibrary@cranfordlibrary.org  cranfordlibrary.org CHILDREN"
908-720-9205,1,green-brook-gazette,zette  Page 12  January 2026 Roseann O’Keefe Broker Associate Direct: 908.720.9205 Office: 908.325.5000 Email: RO@RoseannOKeefe.com www.RoseannOKeefe.com102
908-755-5020,1,watchung-post,"rg. For more information - or simply a listening ear - please contact us at (908) 755-5020. The church office is open Monday through Friday, 9:00 a.m. to 12:30 p.m.Co"
908-789-1670,1,garwood-times,"tionwideLIBRARY JANUARY PROGRAMS 411 Third Ave  www.https://garwoodpl.org  908-789-1670 or email garwoodlibrary@garwood.org HOURS: Mon, Tues and Thurs 9 am to 8 pm"
908-845-8400,1,watchung-post,"tion. Visit SCLSNJ.org to register today. For additional assistance, call (908) 845-8400. visit SCLSNJ.org or connect with SCLSNJ on Facebook, Instagram, X or YouTu"
908-851-5450,1,spirit-of-union,"RENNA MEDIAJANUARY EVENTS AT THE UNION PUBLIC LIBRARY Adult Services at (908)-851-5450 extension 3, or our Vauxhall Branch at (908)-851-5451, or check out our website"
908-851-5451,1,spirit-of-union,"BRARY Adult Services at (908)-851-5450 extension 3, or our Vauxhall Branch at (908)-851-5451, or check out our website at uplnj.org or visit us at the Main Library at 198"
908-884-4083,1,cranford-monthly,"joining the Cranford Council, please contact our Grand Knight Tom Turner at 908-884-4083, or visit our website: cranfordknights.org (above, l-r) Brother Joseph Patel"
973-390-3826,1,berkeley-heights-news,908-370-1123 Your local neighborhood experts. Vincent Cirincione Realtor 973-390-3826 - Vinnco565@yahoo.com Laurianne Tussel-Holsten Realtor 908-370-1123 - LTH
973-822-1465,1,madison-monthly,"For more information email: elksmadison1465@gmail.com, or call the Lodge at 973-822-1465."
973-971-7023,1,life-in-linden,"r have any questions about how to transfer your medical record, please call (973) 971-7023 and our staff will be happy to assist you.NOTICE"
